Significado Siglas
S: programa
SRB: subRutinaBloque
IB: instruccionBloque
I: instruccion
D: declaracion
IFB: ifBloque
WHILEB: whileBloque
FORB: forBloque
SWICTHB: switchBloque
IMPUT: leerEntrada
OUTPUT: imprimirSalida
EXE: ejecucion
EXPR: expresion
VAL: valor
BINEXPR: binaria_expresion
UNEXPR: unaria_expresion
ID: unico_id
BINOP: binario_operador
UNOP: unario_operador
ARR: array
SLAD: subRutinaListaArgumentosDeclaracion
IBS: instruccionBloqueSubrutina
SAD: subRutinaArgumentoDeclaracion
SI: subRutinaInstruccion
IFBS: ifBloqueSubrutica
WHILEBS: whileBloqueSubrutina
FORBS: forBloqueSubrutina
SWITCHBS: switchBloqueSubrutina
RS: returnSentencia
RA: returnArgumentos
ELSEIFBS: elseifBloqueSubrutina
ELSEBS: elseBloqueSubrutina
ELSEIFS: elseifSubrutina
ELSESBS: elseSubBloqueSubrutina
FORSETAS: forSetArgumentoSubrutina
INCRAS: incrArgumentoSubrutina
IBSC: instruccionBloqueSubrutinaCiclo
CIS: cicloInstruccionSubrutina
CBS: caseBloqueSubrutina
DBS: defaultBloqueSubrutina
CSBS: caseSubBloqueSubrutina
DSBS: defaultSubBloqueSubrutina
VALASIG: valor_asignar
ARRIDX: array_indice
OUTA: salidaArgumento
SLALL: subRutinaListaArgumentosLlamada
SALL: subrutinaArgumentoLlamada
SAF: subRutinaArgumentoFormato
ARRLLA: arrayLlamadaArgumentos
EXEB: ejecucionCuerpo
ELSEIFB: elseifBloque
ELSEB: elseBloque
ELSEIF: elseif
ELSESB: elseSubBloque
FORSETA: forSetArgumento
INCRA: incrArgumento
IBC: instruccionBloqueCiclo
CI: cicloInstruccion
CB: caseBloque
CSB: caseSubBloque
DB: defaultBloque
DSB: defaultSubBloque
